Mangrove type_x,time,spatial_ref_x,area_x,Mangrove type_y,spatial_ref_y,area_y,Mangrove type,spatial_ref,area
closed,2020-01-15 11:38:02,6933,4258.2,regular,6933,23687.2,total,6933,27945.4
closed,2020-01-20 11:38:01,6933,129.56,regular,6933,5728.2,total,6933,5857.76
closed,2020-01-30 11:38:00,6933,24.24,regular,6933,1784.12,total,6933,1808.36
closed,2020-02-19 11:38:02,6933,1793.44,regular,6933,25649.36,total,6933,27442.8
closed,2020-02-29 11:38:03,6933,277.48,regular,6933,25401.84,total,6933,25679.32
closed,2020-03-05 11:38:05,6933,58.36,regular,6933,26464.2,total,6933,26522.56
closed,2020-03-20 11:38:04,6933,635.0,regular,6933,25864.04,total,6933,26499.04
closed,2020-03-30 11:38:04,6933,213.16,regular,6933,24548.72,total,6933,24761.88
closed,2020-04-04 11:38:05,6933,185.08,regular,6933,24815.2,total,6933,25000.28
closed,2020-04-19 11:38:08,6933,0.0,regular,6933,1241.88,total,6933,1241.88
closed,2020-04-29 11:38:10,6933,0.0,regular,6933,15624.8,total,6933,15624.8
closed,2020-05-04 11:38:05,6933,29.8,regular,6933,23990.52,total,6933,24020.32
closed,2020-05-19 11:38:13,6933,0.0,regular,6933,8430.68,total,6933,8430.68
closed,2020-06-03 11:38:09,6933,2293.36,regular,6933,24897.84,total,6933,27191.2
closed,2020-06-18 11:38:14,6933,0.0,regular,6933,0.0,total,6933,0.0
closed,2020-07-03 11:38:10,6933,0.0,regular,6933,0.0,total,6933,0.0
closed,2020-07-08 11:38:12,6933,0.0,regular,6933,0.0,total,6933,0.0
closed,2020-07-18 11:38:13,6933,124.88,regular,6933,556.16,total,6933,681.04
closed,2020-08-07 11:38:14,6933,2.12,regular,6933,834.96,total,6933,837.08
closed,2020-08-17 11:38:13,6933,62.72,regular,6933,676.24,total,6933,738.96
closed,2020-08-22 11:38:11,6933,1630.6,regular,6933,5105.8,total,6933,6736.4
closed,2020-09-06 11:38:12,6933,0.0,regular,6933,0.0,total,6933,0.0
closed,2020-09-21 11:38:10,6933,0.0,regular,6933,4.96,total,6933,4.96
closed,2020-09-26 11:38:13,6933,4215.12,regular,6933,5421.36,total,6933,9636.48
closed,2020-10-06 11:38:13,6933,14582.4,regular,6933,8023.88,total,6933,22606.28
closed,2020-10-21 11:38:11,6933,7973.36,regular,6933,8175.72,total,6933,16149.08
closed,2020-10-26 11:38:13,6933,9231.2,regular,6933,14221.08,total,6933,23452.28
closed,2020-11-05 11:38:12,6933,12144.16,regular,6933,8809.36,total,6933,20953.52
closed,2020-11-20 11:38:08,6933,22701.32,regular,6933,6115.08,total,6933,28816.4
closed,2020-11-25 11:38:09,6933,7598.0,regular,6933,12981.8,total,6933,20579.8
closed,2020-12-05 11:38:06,6933,4456.96,regular,6933,3740.36,total,6933,8197.32
closed,2021-01-04 11:38:08,6933,22541.72,regular,6933,6241.2,total,6933,28782.92
closed,2021-01-09 11:38:07,6933,7820.08,regular,6933,19582.8,total,6933,27402.88
closed,2021-01-24 11:38:08,6933,8967.44,regular,6933,19148.2,total,6933,28115.64
closed,2021-02-08 11:38:07,6933,1395.0,regular,6933,21371.0,total,6933,22766.0
closed,2021-02-23 11:38:07,6933,1786.28,regular,6933,26049.36,total,6933,27835.64
closed,2021-03-10 11:38:07,6933,426.4,regular,6933,14964.28,total,6933,15390.68
closed,2021-03-25 11:38:06,6933,870.56,regular,6933,25963.96,total,6933,26834.52
closed,2021-04-09 11:38:05,6933,89.32,regular,6933,26027.12,total,6933,26116.44
closed,2021-04-14 11:38:02,6933,744.92,regular,6933,25318.32,total,6933,26063.24
closed,2021-04-24 11:38:04,6933,241.36,regular,6933,22901.12,total,6933,23142.48
closed,2021-05-09 11:38:06,6933,0.0,regular,6933,1196.88,total,6933,1196.88
closed,2021-05-14 11:38:07,6933,628.32,regular,6933,24387.48,total,6933,25015.8
closed,2021-05-24 11:38:08,6933,2451.0,regular,6933,23496.36,total,6933,25947.36
closed,2021-05-29 11:38:08,6933,732.12,regular,6933,24964.56,total,6933,25696.68
closed,2021-06-08 11:38:09,6933,5218.36,regular,6933,21125.6,total,6933,26343.96
closed,2021-06-13 11:38:08,6933,1896.32,regular,6933,10925.92,total,6933,12822.24
closed,2021-06-23 11:38:09,6933,1875.68,regular,6933,13041.64,total,6933,14917.32
closed,2021-06-28 11:38:09,6933,8412.4,regular,6933,18424.24,total,6933,26836.64
closed,2021-07-08 11:38:09,6933,939.04,regular,6933,12991.0,total,6933,13930.04
closed,2021-07-13 11:38:11,6933,1413.76,regular,6933,3543.0,total,6933,4956.76
closed,2021-07-28 11:38:10,6933,0.0,regular,6933,0.0,total,6933,0.0
closed,2021-08-12 11:38:10,6933,45.24,regular,6933,683.6,total,6933,728.84
closed,2021-08-27 11:38:06,6933,2565.0,regular,6933,4934.48,total,6933,7499.48
closed,2021-09-01 11:38:09,6933,838.16,regular,6933,2438.96,total,6933,3277.12
closed,2021-09-11 11:38:08,6933,3269.8,regular,6933,5057.32,total,6933,8327.12
closed,2021-09-16 11:38:04,6933,89.2,regular,6933,440.48,total,6933,529.68
closed,2021-09-26 11:38:06,6933,11485.24,regular,6933,13033.28,total,6933,24518.52
closed,2021-10-01 11:38:12,6933,0.0,regular,6933,0.0,total,6933,0.0
closed,2021-10-11 11:38:13,6933,1854.68,regular,6933,3656.48,total,6933,5511.16
closed,2021-10-16 11:38:09,6933,5577.56,regular,6933,12516.16,total,6933,18093.72
closed,2021-10-26 11:38:09,6933,19.72,regular,6933,15.96,total,6933,35.68
closed,2021-10-31 11:38:12,6933,21233.76,regular,6933,6365.44,total,6933,27599.2
closed,2021-11-15 11:38:06,6933,7910.24,regular,6933,10806.48,total,6933,18716.72
closed,2021-11-25 11:38:03,6933,23297.88,regular,6933,5725.0,total,6933,29022.88
closed,2021-11-30 11:38:07,6933,1182.56,regular,6933,9746.36,total,6933,10928.92
closed,2021-12-15 11:38:01,6933,0.0,regular,6933,0.0,total,6933,0.0
closed,2021-12-20 11:38:09,6933,3841.72,regular,6933,23647.8,total,6933,27489.52
closed,2021-12-30 11:38:09,6933,12058.48,regular,6933,16042.96,total,6933,28101.44
closed,2022-01-14 11:38:03,6933,2636.12,regular,6933,7651.16,total,6933,10287.28
closed,2022-01-19 11:38:08,6933,10299.32,regular,6933,17758.24,total,6933,28057.56
closed,2022-01-29 11:38:08,6933,7002.28,regular,6933,20979.08,total,6933,27981.36
closed,2022-02-03 11:38:02,6933,2924.24,regular,6933,24642.72,total,6933,27566.96
closed,2022-02-13 11:38:02,6933,3543.72,regular,6933,24009.0,total,6933,27552.72
closed,2022-02-18 11:38:09,6933,1470.52,regular,6933,24491.28,total,6933,25961.8
closed,2022-02-28 11:38:11,6933,3551.88,regular,6933,24092.52,total,6933,27644.4
closed,2022-03-05 11:38:05,6933,4.0,regular,6933,23147.32,total,6933,23151.32
closed,2022-03-15 11:38:06,6933,33.04,regular,6933,16996.2,total,6933,17029.24
closed,2022-03-30 11:38:10,6933,212.4,regular,6933,23054.24,total,6933,23266.64
closed,2022-04-04 11:38:04,6933,451.88,regular,6933,25799.88,total,6933,26251.76
closed,2022-04-14 11:38:04,6933,532.72,regular,6933,25332.12,total,6933,25864.84
closed,2022-05-04 11:38:03,6933,1916.08,regular,6933,23800.48,total,6933,25716.56
closed,2022-05-14 11:38:06,6933,2074.44,regular,6933,23723.8,total,6933,25798.24
closed,2022-05-19 11:38:14,6933,3092.0,regular,6933,21644.88,total,6933,24736.88
closed,2022-06-03 11:38:08,6933,7989.96,regular,6933,19769.4,total,6933,27759.36
closed,2022-06-18 11:38:19,6933,0.0,regular,6933,0.0,total,6933,0.0
closed,2022-06-23 11:38:12,6933,0.0,regular,6933,0.0,total,6933,0.0
